car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly)
XPANDER SPORT 1.5,Mitsubishi,2019,70.969,Jakarta Selatan,Automatic,even plate,0,0,1,0,0,0,1,0,0,0,0,210000000,4280000
BR-V E 1.5,Honda,2016,119.436,Jakarta Utara,Automatic,even plate,0,0,1,0,0,0,0,1,0,0,0,164000000,3340000
HR-V E PLUS 1.5,Honda,2018,94.946,Jakarta Timur,Automatic,even plate,0,0,1,1,0,0,0,0,0,0,0,258000000,5260000
2 R SKYACTIV 1.5,Mazda,2015,117.682,Jakarta Timur,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,166000000,3380000
AGYA G 1.2,Toyota,2022,9.881,Jakarta Selatan,Manual,odd plate,0,0,1,0,0,0,0,0,0,0,0,136000000,2770000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,61.532,Jakarta Barat,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,212000000,4320000
LIVINA VL 1.5,Nissan,2019,83.691,Jakarta Pusat,Automatic,odd plate,1,0,1,0,0,0,0,0,0,0,0,199000000,4050000
RUSH S TRD SPORTIVO 1.5,Toyota,2019,57.056,Jakarta Utara,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,219000000,4460000
XENIA X STD 1.3,Daihatsu,2012,44.746,Jakarta Selatan,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,102000000,2080000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,93.142,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,209000000,4260000
CX-3 GT 2.0,Mazda,2019,32.13,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,0,1,0,0,0,0,323000000,6580000
BRIO E 1.2,Honda,2016,48.751,Jakarta Pusat,Automatic,odd plate,0,0,0,0,0,0,0,0,0,0,0,131000000,2670000
PAJERO SPORT DAKAR ULTIMATE 4X2 2.4,Mitsubishi,2018,73.296,Jakarta Timur,Automatic,even plate,1,0,0,0,0,0,1,0,0,0,0,428000000,8720000
CITY RS HATCHBACK 1.5,Honda,2021,46.694,Jakarta Barat,Automatic,even plate,0,0,1,0,0,0,0,0,0,0,0,262000000,5340000
XPANDER ULTIMATE 1.5,Mitsubishi,2018,82.596,Jakarta Utara,Automatic,even plate,1,0,1,0,0,0,0,0,0,0,0,213000000,4340000
IGNIS GX AGS 1.2,Suzuki,2018,125.114,Jakarta Pusat,Automatic,even plate,1,0,0,0,0,0,1,0,0,0,0,125000000,2550000
RAIZE GR SPORT 1.0,Toyota,2021,18.599,Jakarta Timur,Automatic,odd plate,0,0,1,0,0,0,0,0,0,0,0,224000000,4560000
