car name,brand,year,mileage (km),location,transmission,plate type,rear camera,sun roof,auto retract mirror,electric parking brake,map navigator,vehicle stability control,keyless push start,sports mode,360 camera view,power sliding door,auto cruise control,price (Rp),instalment (Rp|Monthly),image_url
AYLA R 1.2,Daihatsu,2019,17.916,Jakarta Timur,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,117000000,2380000,https://img.mobilmo.com/2021/01/11/UOgDFPLZ/daihatsu-ayla-1-2-r-deluxe-at-2020-samping-f80c.png
AYLA R DLX 1.2,Daihatsu,2019,33.635,Jakarta Timur,Manual,odd plate,0,0,0,0,0,0,0,0,0,0,0,115000000,2340000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSPVFo4_osKW8CtOgFHsmJR3bGR8MtqIr7MA&s
AGYA G 1.0,Toyota,2016,76.931,Jakarta Timur,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,95000000,1940000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVdxddu-McXPW60jW4vkh5cr2ZVmDxG2AC4w&s
AYLA X 1.0,Daihatsu,2017,93.445,Jakarta Pusat,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,93000000,1890000,https://imgcdn.oto.com/large/gallery/exterior/7/1731/daihatsu-ayla-front-angle-low-view-269225.jpg
CORTEZ T LUX 1.5,Wuling,2019,72.65,Jakarta Timur,Automatic,odd plate,0,1,0,1,0,0,0,0,0,0,0,178000000,3630000,https://imgcdn.oto.com/medium/gallery/exterior/110/1643/wuling-cortez-62378.jpg
XPANDER ULTIMATE 1.5,Mitsubishi,2018,98.742,Jakarta Timur,Automatic,even plate,0,0,1,0,0,1,0,0,0,0,0,211000000,4300000,https://assets.mitsubishi-motors.co.id/compress/products/colors/1642135848-ultimate-white-at-2x-minpng.webp
IGNIS GL 1.2,Suzuki,2019,26.233,Jakarta Timur,Manual,even plate,0,0,0,0,0,0,0,0,0,0,0,119000000,2420000,https://www.suzuki.co.id/uploads/automobile/FA-DI-Ignis_Hero_Angle-1-GL-Red-min4.jpg
BALENO HATCHBACK 1.4,Suzuki,2017,24.032,Jakarta Selatan,Manual,even plate,0,0,1,0,0,0,1,0,0,0,0,152000000,3100000,https://asl-prd-prod-cdn.autopedia.id/photobooth/2024/09/06/c7e6c697-7508-4784-accd-d06d03401e89._1725616341339.webp
RUSH S TRD 1.5,Toyota,2018,67.595,Jakarta Barat,Automatic,odd plate,0,0,1,0,0,1,0,0,0,0,0,211000000,4300000,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQngxC6KTYxFP7lIQY7nV3Nt5eWXaBF3y8yZA&s
TERIOS X DLX 1.5,Daihatsu,2019,70.234,Jakarta Timur,Manual,odd plate,1,0,0,0,0,0,0,0,0,0,0,192000000,3910000,https://www.mtf.co.id/media/image/thumbs/kendaraan/car/20180531/car20180531-daihatsu_new20t-730-530_thumb_c.jpg
